City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Neryungri,RU,56.6709,124.6491,26.87,82,70,5.64,broken clouds
291,Krasnoselkup,RU,65.7,82.4667,25.63,78,50,11.68,scattered clouds
292,Guerrero Negro,MX,27.9769,-114.0611,79.68,46,0,12.5,clear sky
293,Kaffrine,SN,14.1059,-15.5508,81.66,75,74,9.46,broken clouds
294,Susaki,JP,33.3667,133.2833,73.85,91,96,3.22,overcast clouds
295,Yumen,CN,40.2833,97.2,37.69,23,1,11.63,clear sky
296,Yulara,AU,-25.2406,130.9889,53.44,71,2,9.22,clear sky
297,Vardo,NO,70.3705,31.1107,44.58,87,75,5.75,broken clouds
298,Burriana,ES,39.889,-0.085,69.94,79,42,4.03,scattered clouds
299,Nosy Varika,MG,-20.5833,48.5333,67.98,89,5,5.53,clear sky
300,Kattivakkam,IN,13.2167,80.3167,80.69,80,96,5.35,overcast clouds
301,Belmonte,BR,-15.8631,-38.8828,77.0,90,79,8.93,broken clouds
302,Iglesias,IT,39.3114,8.535,62.78,70,0,4.56,clear sky
303,Taltal,CL,-25.4,-70.4833,67.32,50,12,4.85,few clouds
304,Taga,RO,46.95,24.05,45.32,46,100,2.42,overcast clouds
305,Lavrentiya,RU,65.5833,-171.0,28.96,80,30,2.77,scattered clouds
306,Aklavik,CA,68.2191,-135.0107,30.92,78,100,9.31,overcast clouds
307,Vestmannaeyjar,IS,63.4427,-20.2734,43.23,71,60,14.9,broken clouds
308,Jatai,BR,-17.8814,-51.7144,70.74,81,100,10.11,moderate rain
309,Kavaratti,IN,10.5669,72.642,82.09,81,98,14.65,overcast clouds
310,Anloga,GH,5.7947,0.8973,79.02,83,35,12.15,scattered clouds
311,Tautira,PF,-17.7333,-149.15,84.22,76,69,8.39,broken clouds
312,Saint-Georges,GD,12.0564,-61.7485,85.68,84,40,12.66,scattered clouds
313,Ostrovnoy,RU,68.0531,39.5131,42.62,94,100,3.13,overcast clouds
314,Zaysan,KZ,47.4667,84.8667,44.58,48,100,6.17,overcast clouds
315,Manbij,SY,36.5281,37.9549,61.57,21,0,6.13,clear sky
316,Nalbach,DE,49.3833,6.7833,44.15,85,19,1.86,few clouds
317,Saint-Augustin,CA,51.226,-58.6502,51.78,61,59,5.64,broken clouds
318,Hihya,EG,30.6713,31.588,74.28,79,0,6.51,clear sky
319,Mulege,MX,26.8833,-111.9833,86.36,30,0,13.78,clear sky
320,Sorland,NO,67.667,12.6934,46.47,80,100,6.87,overcast clouds
321,Alamogordo,US,32.8995,-105.9603,72.41,30,40,1.01,scattered clouds
322,Sabang,ID,5.8933,95.3214,82.17,79,60,24.32,broken clouds
323,Liverpool,GB,53.4106,-2.9779,57.15,80,75,1.01,broken clouds
324,Bela Vista,BR,-22.1089,-56.5211,72.61,93,85,3.04,overcast clouds
325,Marawi,PH,7.9986,124.2928,65.64,93,91,7.2,overcast clouds
326,Billings,US,45.7833,-108.5007,67.37,31,75,23.02,broken clouds
327,Arman,RU,59.7,150.1667,27.9,62,0,9.06,clear sky
328,Nantucket,US,41.2835,-70.0995,62.96,87,100,22.62,overcast clouds
329,Saint George,US,37.1041,-113.5841,72.07,32,1,3.0,clear sky
330,Baykit,RU,61.67,96.37,23.56,83,83,6.58,broken clouds
331,Antipino,RU,57.1068,65.7576,26.89,72,53,2.64,broken clouds
332,Kirakira,SB,-10.4544,161.9205,78.62,84,90,3.4,overcast clouds
333,Kassala,SD,15.451,36.4,88.5,43,100,4.85,overcast clouds
334,Gat,IL,31.61,34.7642,74.39,64,0,5.53,clear sky
335,Carauari,BR,-4.8828,-66.8958,88.36,57,80,3.67,broken clouds
336,Flinders,AU,-34.5833,150.8552,51.21,86,100,4.0,overcast clouds
337,Leningradskiy,RU,69.3833,178.4167,19.51,90,100,4.47,overcast clouds
338,Salme,NP,28.0369,85.0942,62.89,82,1,5.35,clear sky
339,Kamenka,RU,51.3223,42.7678,43.92,57,0,5.01,clear sky
340,Kaeo,NZ,-35.1,173.7833,56.32,87,15,3.56,few clouds
341,Lewistown,US,40.5992,-77.5714,69.46,88,90,4.61,overcast clouds
342,Puerto Quijarro,BO,-17.7833,-57.7667,98.58,32,48,5.17,scattered clouds
343,Vostok,RU,46.4856,135.8833,37.0,88,100,14.92,overcast clouds
344,Homburg,DE,49.3167,7.3333,45.36,80,0,3.44,clear sky
345,Daru,PG,-9.0763,143.2092,78.33,81,100,9.26,overcast clouds
346,Whitianga,NZ,-36.8333,175.7,60.03,61,17,8.41,few clouds
